date,1. open,2. high,3. low,4. close,5. volume
2021-01-19 20:00:00,217.03,217.16,217.0,217.02,11770.0
2021-01-19 19:00:00,216.92,217.3,216.75,217.03,23336.0
2021-01-19 18:00:00,216.77,216.87,216.55,216.87,474320.0
2021-01-19 17:00:00,216.44,216.88,216.02,216.7,4618258.0
2021-01-19 16:00:00,216.23,216.98,216.12,216.44,4347098.0
2021-01-19 15:00:00,215.98,216.51,215.76,216.23,2357697.0
2021-01-19 14:00:00,214.99,216.09,214.99,215.9765,2236952.0
2021-01-19 13:00:00,213.6179,215.09,213.59,215.0,3084316.0
2021-01-19 12:00:00,213.88,213.9,212.63,213.6147,2527553.0
2021-01-19 11:00:00,214.17,214.605,213.12,213.87,2808081.0
2021-01-19 10:00:00,213.5,214.92,213.0528,214.17,3718386.0
2021-01-19 09:00:00,214.05,214.05,212.12,213.5,66900.0
2021-01-19 08:00:00,214.02,214.05,213.55,213.78,43855.0
2021-01-19 07:00:00,214.38,214.38,214.02,214.02,2921.0
2021-01-19 06:00:00,214.47,214.47,214.36,214.41,1232.0
2021-01-19 05:00:00,214.0,214.65,214.0,214.48,7838.0
2021-01-15 20:00:00,212.36,212.55,212.36,212.45,7885.0
2021-01-15 19:00:00,212.64,212.64,212.22,212.36,7112.0
2021-01-15 18:00:00,212.47,212.59,212.42,212.59,22951.0
2021-01-15 17:00:00,212.65,213.04,212.34,212.47,2286682.0
2021-01-15 16:00:00,213.5137,214.0,212.57,212.58,4073469.0
2021-01-15 15:00:00,213.72,214.21,213.5,213.52,1909508.0
2021-01-15 14:00:00,213.14,214.02,212.95,213.714,2748647.0
2021-01-15 13:00:00,213.76,213.98,212.94,213.15,2473310.0
2021-01-15 12:00:00,213.22,214.22,212.24,213.771,3205959.0
2021-01-15 11:00:00,213.655,214.03,212.03,213.2,4582184.0
2021-01-15 10:00:00,213.71,214.51,212.9504,213.635,5716613.0
2021-01-15 09:00:00,213.6768,213.88,212.49,213.7,57435.0
2021-01-15 08:00:00,213.11,213.86,213.11,213.71,33237.0
2021-01-15 07:00:00,213.16,213.78,212.83,213.4,13247.0
2021-01-15 06:00:00,213.4,213.5,213.11,213.16,7430.0
2021-01-15 05:00:00,213.52,213.6,213.25,213.4,21719.0
2021-01-14 20:00:00,213.6,213.68,213.39,213.52,17701.0
2021-01-14 19:00:00,213.59,213.74,213.51,213.68,12315.0
2021-01-14 18:00:00,213.18,213.6,213.15,213.6,71045.0
2021-01-14 17:00:00,213.02,213.5,212.53,213.18,1903942.0
2021-01-14 16:00:00,213.99,214.24,212.74,213.02,6235333.0
2021-01-14 15:00:00,213.97,214.21,213.76,214.0003,2203056.0
2021-01-14 14:00:00,214.78,214.8,213.9118,213.9899,2068068.0
2021-01-14 13:00:00,214.64,214.81,213.94,214.7899,2529891.0
2021-01-14 12:00:00,215.9,215.96,214.42,214.631,2769971.0
2021-01-14 11:00:00,215.935,216.415,215.56,215.8979,2954435.0
2021-01-14 10:00:00,216.01,217.46,215.51,215.92,2879994.0
2021-01-14 09:00:00,215.7,216.2,215.39,216.02,38597.0
2021-01-14 08:00:00,215.88,216.03,215.41,215.81,33106.0
2021-01-14 07:00:00,215.71,216.01,215.05,215.05,11546.0
2021-01-14 06:00:00,215.28,215.42,214.53,214.71,4458.0
2021-01-14 05:00:00,216.34,216.47,215.15,215.15,12378.0
2021-01-13 20:00:00,216.56,216.98,216.5,216.97,12089.0
2021-01-13 19:00:00,216.7,216.79,216.56,216.56,24415.0
2021-01-13 18:00:00,216.56,216.7,216.56,216.7,9711.0
2021-01-13 17:00:00,216.34,216.86,216.3075,216.55,1130135.0
2021-01-13 16:00:00,216.36,216.76,216.2,216.41,2775946.0
2021-01-13 15:00:00,216.1,216.61,215.73,216.35,1967675.0
2021-01-13 14:00:00,215.8,216.14,215.65,216.1,1348789.0
2021-01-13 13:00:00,215.95,216.18,215.09,215.805,1956480.0
2021-01-13 12:00:00,215.79,216.13,214.92,215.95,2130355.0
2021-01-13 11:00:00,214.74,215.8299,214.12,215.79,3024332.0
2021-01-13 10:00:00,214.25,215.58,213.9266,214.7899,2922113.0
2021-01-13 09:00:00,214.8,214.8,213.5,214.25,52956.0
2021-01-13 08:00:00,214.69,214.8,213.75,213.75,43893.0
2021-01-13 07:00:00,215.22,215.22,214.11,214.52,4538.0
2021-01-13 06:00:00,215.64,215.98,215.2,215.2,8778.0
2021-01-13 05:00:00,215.3,215.3,215.3,215.3,2000.0
2021-01-12 20:00:00,215.03,215.23,214.88,215.05,13560.0
2021-01-12 19:00:00,214.95,215.07,214.93,215.04,7914.0
2021-01-12 18:00:00,214.95,215.0,214.95,214.96,7448.0
2021-01-12 17:00:00,214.93,215.32,214.2,215.05,866689.0
2021-01-12 16:00:00,215.06,215.4,214.76,214.93,3258758.0
2021-01-12 15:00:00,215.18,215.67,214.75,215.05,2296917.0
2021-01-12 14:00:00,214.4191,215.38,214.33,215.17,1634472.0
2021-01-12 13:00:00,214.65,214.7,213.3202,214.42,3346361.0
2021-01-12 12:00:00,214.8,215.56,214.55,214.66,2967478.0
2021-01-12 11:00:00,215.06,215.7579,214.3921,214.79,3414697.0
2021-01-12 10:00:00,216.51,217.1,214.365,215.03,3501015.0
2021-01-12 09:00:00,217.9846,217.99,216.01,216.73,76881.0
2021-01-12 08:00:00,217.8,217.85,217.5,217.5,28428.0
2021-01-12 07:00:00,217.51,217.51,217.5,217.5,1506.0
2021-01-12 06:00:00,218.06,218.06,217.51,217.51,4799.0
2021-01-12 05:00:00,217.68,218.09,217.51,218.09,1819.0
2021-01-11 20:00:00,217.73,218.38,217.6,217.76,4290.0
2021-01-11 19:00:00,217.68,217.89,217.53,217.7,17148.0
2021-01-11 18:00:00,217.73,217.75,217.67,217.67,4506.0
2021-01-11 17:00:00,217.64,218.0,217.49,217.72,2688076.0
2021-01-11 16:00:00,217.97,218.09,217.12,217.5,3253894.0
2021-01-11 15:00:00,217.79,218.06,217.2165,217.95,1576713.0
